,ear_traits,face_tail_traits,lower_body_traits,upper_body_traits
739,Green,Black,Brown3,Black Emoji3
740,Blue,White,Brown2,Brown2
741,Blue,Red,Brown2,Black Emoji4
742,BlackGray,Original,Original,Brown2
743,BlackGray,DkGray,Brown3,Black Emoji2
744,Yellow,Red,Brown3,Original
745,Green,Red,Brown1,Black
746,Yellow,Black,Original,Brown2
747,Blue,Original,White,Brown1
748,Green,Red,Brown2,Brown1
749,Original,Black,White,Black Emoji4
750,Green,Original,Brown3,Brown1
751,Yellow,Red,Brown3,Black Emoji4
752,Green,Black,Original,Brown1
753,BlackGray,DkGray,DkGray,Black Emoji2
754,Original,Black,DkGray,Black Emoji2
755,Blue,Red,Brown3,Brown1
756,Yellow,White,Brown2,Brown2
757,Green,Red,Original,Black Emoji2
758,Blue,Red,Brown1,Brown2
759,BlackGray,Black,Original,Black Emoji2
760,Original,Black,Original,Brown2
